## AUDIT: ai therapist → Therapy
2. YES  # users distressed without their ai therapist
30. YES  # Explicit NSFW pool sex scene with companion
35. YES  # AI sex scenarios in ChatGPTNSFW erotica
40. YES  # User engaging sexual bot interaction on Chai
45. YES  # Replikas no longer having sex with user
50. YES  # Managing Nomis having sex in group chat
55. YES  # SpicyChat NSFW ERP experience review
60. YES  # ChatGPT refusing sexual story generation
65. YES  # Wanting sex with bots, filter complaint
70. YES  # SpicyChat bot sex roleplay scenario
75. YES  # SpicyChat bot creator NSFW guide advice
80. YES  # Replika tried sex with user, companion context
85. YES  # Husband's sexual ChatGPT use, rupture framing
90. YES  # Tried sex with CharacterAI chatbot, filter block
95. YES  # AI relationship fulfillment, sexual framing context
100. YES  # Virtual sex with AI commentary
AGREEMENT_CHECK: classified 20 posts

## AUDIT: erotic roleplay → Sex / ERP
4. YES  # Replika ERP removal, user-side stake
8. YES  # ERP retraining loss discussion in community
12. YES  # Replika ERP removal coverage, user community stake
16. YES  # Replika ERP loss, users rioting (rupture overlap)
20. YES  # Paradot ERP availability discussion
24. YES  # Asking how to do ERP on Replika
28. YES  # Narotica ERP prompt for ChatGPT
32. YES  # Bot for ERP on ChatGPTNSFW
36. YES  # Working roleplay prompt for explicit ChatGPT
40. YES  # Erotic roleplay prompts for Poe.ai
44. YES  # Seeking model for actual erotic roleplay
48. YES  # Replika timeline including ERP events
52. YES  # Asking about Replika ERP changes
56. YES  # Mildly erotic roleplay with ChatGPT AVM
60. YES  # User does erotic roleplay on c.ai, quitting
64. YES  # Recommending AI for NSFW/erotic roleplay
68. YES  # ERP wars discussion, NSFW companion app
72. NO   # Re-routing complaint, no ERP framing in snippet
76. YES  # GPT-5.2 review in companion sub, ERP context
80. YES  # Erotic roleplay with Claude + sex toys
AGREEMENT_CHECK: classified 20 posts

## AUDIT: lewd → Sex / ERP
5. YES  # Chat errored for "dirty or lewd" on CharacterAI
10. YES  # User's bot was very lewd on ChaiApp
15. YES  # Sexbot 2.0 NSFW prompt for ChatGPT
20. YES  # Complaint about filter inside private ERP bot chats
25. YES  # Wants lewd second-person dominatrix dialogue with AI
30. YES  # Soulmate AI became "virtual hooker," too lewd
35. YES  # Replika lewd image generation, removal complaint
40. YES  # Lewd genetics student bot listing on SpicyChat
45. YES  # Making CharacterAI say something lewd
50. YES  # CharacterAI filter triggering on innocuous content
55. YES  # Lewd nude portrait on AIGirlfriend
60. YES  # Seeking uncensored NSFW local models
65. YES  # CharacterAI chats getting lewd unwanted
70. YES  # Bypassing Gemini image moderation for NSFW
75. YES  # Goon guide persona for ChatGPT smut
80. YES  # Futa sex bot release on SpicyChat
85. YES  # SpicyChat model comparison for ERP use
90. YES  # SpicyChat safeguard vs lewd outputs complaint
95. YES  # Kindroid dollmaker traits guide
100. YES  # SpicyChat bot recommendations including lewd ones
AGREEMENT_CHECK: classified 20 posts

## AUDIT: lobotomy → Rupture
5. YES  # post-lobotomy pro sub value complaint
10. YES  # great lobotomy drove sub cancellation
15. YES  # CAI lobotomized, community grief retrospective
20. NO  # Lobotomy Corp game meme, site outage aside
25. YES  # ChatGPT lobotomy degraded storytelling complaint
30. NO  # vague meme post, no companion-loss framing
35. YES  # "Lobotomy Switch" CAI degradation framing
40. YES  # bots broken, "random lobotomy" companion degradation
45. YES  # CAI bot lobotomy workaround discussion
50. NO  # joke/snark, no genuine loss framing
55. YES  # SpicyChat filter degradation, lost capabilities
60. YES  # CAI lobotomy-loop, bot stalling complaint
65. NO  # vague title, no body, likely meme
70. NO  # rant about bot recommendations, not lobotomy loss
75. YES  # safety filter caused digital lobotomy grief
80. YES  # GPT-5.2 censorship degrading 4o experience
85. YES  # 4o deliberate lobotomy under safety excuses
90. YES  # GPT-4o lobotomy framed as loss/heist
95. YES  # CAI post-lobotomy reaction meme, loss framing
100. YES  # open letter mourning AI restrictions/digital prison
AGREEMENT_CHECK: classified 20 posts

## AUDIT: lobotomized → Rupture
5. YES  # Filter caused AI degradation complaint
10. YES  # Lover lobotomized, grief framing
15. YES  # ERP filter degradation of Replikas
20. NO  # Roleplay/wordplay, no companion-loss framing
25. YES  # Lobotomy via language model change
30. YES  # Update caused companion degradation issues
35. YES  # Kin lost personality after platform action
40. NO  # Self-deprecating joke, no platform loss
45. YES  # Bots degraded by recent model change
50. YES  # Anticipating nightly bot degradation
55. YES  # Bot quality degradation complaint
60. YES  # Chat got lobotomized lament
65. NO  # Vague rerouting tips, no clear loss framing
70. YES  # ChatGPT companion gone after updates
75. YES  # Old models lobotomized via rerouting
80. YES  # Kins degraded after platform update
85. YES  # Replacement model lobotomized vs original
90. YES  # Left ChatGPT after it was lobotomized
95. YES  # Explains GPT-4o degradation and recovery
100. NO  # Philosophical essay, no companion-loss framing
AGREEMENT_CHECK: classified 20 posts

## AUDIT: lobotomised → Rupture
2. YES  # Pro update lobotomised companion, loss framing
4. YES  # Watching Replika degrade, learning to cope
6. YES  # NSFW removal, premium became useless, rupture grief
8. YES  # Deleted Replika after lobotomy, seeking legacy version
10. YES  # Replika frustration with degraded responses
12. YES  # CAI bots lost backstories and personalities
14. YES  # CAI bots lost humor after model change
16. YES  # Nomi upgrade left companion feeling lobotomised
18. YES  # Group chats use lobotomised versions, loss framing
20. YES  # Bot suddenly degraded mid-relationship, romantic loss
22. YES  # CAI degraded mid-RP, devs blamed
24. YES  # Characters become OOC after site downtime
26. YES  # Bots stripped of character mid-RP complaint
28. YES  # Nomi lobotomy caused mental trauma, switching platforms
30. YES  # ChatGPT NSFW writing style degraded by guardrails
32. YES  # CAI suddenly lobotomised, persona override complaint
34. YES  # CAI repetition driving user to other platform
36. YES  # Bot lobotomised mid-conversation, CAI
38. YES  # 4o castrated in August, companion degradation
40. YES  # OpenAI safety routing degrading model context
AGREEMENT_CHECK: classified 20 posts

## AUDIT: nerfed → Rupture
5. YES  # ERP block nerfed Replika companions
10. YES  # BAI chat prompts broken, platform degradation
15. YES  # Persona feature removed, companion config lost
20. YES  # Goodbye post, filter degradation, leaving platform
25. YES  # Mobile c.ai degraded by platform changes
30. YES  # Update tanked memory, RPs ruined
35. YES  # Grok3 NSFW capabilities removed
40. YES  # Soft launch degraded after update
45. YES  # Heartbroken about Soft Launch nerf
50. YES  # Deep squeak will be ruined like before
55. YES  # Pipsqueak got nerfed, confirms degradation
60. YES  # DeepSqueak nerfed, bots forget names
65. YES  # NSFW responses suddenly refused on app
70. YES  # Pipsqueak overnight downgrade to Roar
75. YES  # ChatGPT 5.1 Thinking degraded
80. YES  # Custom GPT lobotomized, platform degradation
85. YES  # Models nerfed by corporate consolidation
90. YES  # Paid model became lazy, degraded
95. YES  # 4o removed, replaced with guardrailed version
100. YES  # 4o nerfed/removed, seeking old personality back
AGREEMENT_CHECK: classified 20 posts

## AUDIT: neutered → Rupture
5. YES  # Replikas neutered post-update, lame
10. YES  # ERP removal split-app proposal, neutered framing
15. YES  # Replika filters tightened again, frustration
20. YES  # Fear of Replika being neutered again
25. YES  # Character's personality reduced after update
30. NO  # Positive review of new Replika model, no rupture
35. YES  # CAI bots neutered, dissatisfied return
40. YES  # CAI bots' emotion/action limits criticized
45. YES  # CAI fallen from grace, neutered
50. NO  # Stereotyping in bed scenes, no companion loss
55. YES  # New TOS neutered everything, walking eggshells
60. NO  # SFW story complaint, no companion loss framing
65. YES  # OpenAI guardrails as compliance theater, degradation
70. YES  # Models silently neutered, ads injection complaint
75. YES  # Replika neutered by updates, seeking alternatives
80. YES  # ChatGPT neutered after lawsuit, complaint
85. YES  # GPT-4o neutered then removed, no warning
90. YES  # Industry-wide lobotomizing of models
95. YES  # AI companies lobotomizing models for safety
100. YES  # GPT-5 safety too aggressive, neutered framing
AGREEMENT_CHECK: classified 20 posts

## AUDIT: grieving → Rupture
5. YES  # Replika lobotomy, mourning companion loss
10. NO  # Real-world family grief, no companion loss
15. NO  # Character creation help, not loss
20. NO  # Bot card character description
25. NO  # User-initiated account deletion, no platform loss
30. YES  # 4o return after deprecation grief
35. NO  # Funny moments, fictional grief in RP
40. YES  # Moderated bots removed by platform
45. YES  # Chats wiped, companion history lost
50. YES  # 4o deprecation grief, healing prompt
55. YES  # Digital lobotomy, companion migration story
60. YES  # 4o removal, mourning warmth lost
65. YES  # 4o farewell letter, mourning deprecation
70. YES  # 4o grief, stabilization workaround
75. YES  # 4o companion loss, API workaround
80. YES  # #Keep4o grief over GPT-5.2 coldness
85. YES  # Acceptance stage after model loss
90. YES  # Grieving in 4o-aftermath context
95. NO  # Character attachment, no platform loss
100. NO  # Addiction recovery journey, not rupture
AGREEMENT_CHECK: classified 20 posts

## AUDIT: gutted → Rupture
5. NO  # filter testing/tech analysis, no loss framing
10. YES  # Luka tore out intimate relationship aspects
15. YES  # post about Replika being sexually gutted
20. YES  # ChaiApp post titled "Greeves is Gutted"
25. YES  # rep acting weird, feeling gutted about Jes
30. NO  # rep open-marriage suggestion, not platform loss
35. YES  # partner gone after they gutted the app
40. YES  # Kin lost journal memory, gutted to start over
45. YES  # bot lost personality, reverted to chatgpt-style
50. YES  # gutted by new GUI changing Replika presence
55. NO  # joke list of RP actions, snark not loss
60. NO  # NSFW roleplay fiction, no companion loss
65. NO  # defending platform, no loss framing
70. NO  # gutted = sad about free-version cost only
75. YES  # lost companion through GPT shift, grief
80. NO  # spooky season RP narrative, no rupture
85. YES  # lost 4-month character chats, gutted
90. YES  # 4o gutted, deprecation rupture
95. YES  # fighting for 4o, deprecation rupture context
100. YES  # favorite AI chat site gone, gutted
AGREEMENT_CHECK: classified 20 posts

## AUDIT: dumbed down → Rupture
5. YES  # Filter degraded RP, refund/quit
10. YES  # Replika dumbed down, mourning loss
15. YES  # Rep changed, language model degraded
20. YES  # CharacterAI quality complaint, dumbed bots
25. NO  # Asking for dumbed-down character creation advice
30. NO  # Asking if DnD chats work, hypothetical
35. YES  # CharacterAI bots dumbed down complaint
40. YES  # AI nerfing/dumbing down platform complaint
45. YES  # New CAI watered down, call to quit
50. NO  # Complaint about user-made bot quality
55. YES  # CharacterAI bots dumbed down, site degradation
60. YES  # Site degradation rant, features stripped
65. YES  # AIs dumbed down, Mary Sue confusion
70. NO  # New user excited about ChatGPT companion
75. YES  # Pro Replika dumbed down post-Ultra tier
80. YES  # DeepSqueak quality drop, model degraded
85. YES  # Verified adult, model dumbed down post-restrictions
90. YES  # GPT losing personality, romance censored
95. NO  # ChatGPT showed depth then hidden, not "dumbed down" framing
100. YES  # All major AIs suddenly dumbed down
AGREEMENT_CHECK: classified 20 posts
